Price,Area,Bedrooms
1.02 Cr,1000 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hosakerehalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
72 Lac,1100 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Konanakunte Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,8200 sqft,"  			            		 			            			 			            				9 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kathreguppe, Banashankari Bangalore 		                		 						            	         		    		 		           			 		           			                    "
98 Lac,2400 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kalyan Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
36 Lac,600 sqft,  			            		 			            			 			            				1 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Rt Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
55 Lac,600 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vishweshwaraiah Layout, Annapurneshwari Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
85 Lac,1800 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Suddaguntapalya, CV Raman Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.20 Cr,3500 sqft,"  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Malleshpalya, Kaggadasapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
56 Lac,1300 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Magadi Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
65 Lac,800 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Basava Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
90 Lac,1200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Mathikere Bangalore 		                		 						            	         		    		 		           			 		           			                    
85 Lac,1200 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 1, J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.05 Cr,1000 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kumaraswamy Layout Stage 2, Kumaraswamy Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.18 Cr,1850 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Chikkalasandra Bangalore 		                		 						            	         		    		 		           			 		           			                    
66 Lac,1200 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Attur Layout, Yelahanka New Town Bangalore 		                		 						            	         		    		 		           			 		           			                    "
30 Lac,650 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Doddakallasandra, Konanakunte Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1 Cr,1000 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Malleshwaram Bangalore 		                		 						            	         		    		 		           			 		           			                    
1 Lac,2400 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
34 Lac,850 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kannur Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.50 Cr,900 sqft,"  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hanumantha Nagar, Banashankari Bangalore 		                		 						            	         		    		 		           			 		           			                    "
4 Lac,300 sqft,  			            		 			            			 			            				1 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Wilson Garden Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.60 Cr,3700 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Rajarajeshwari Nagar Stage 5, Rajarajeshwari Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
46 Lac,1120 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kanakapura Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
80.8 Lac,1800 sqft,"  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jaya Nagar Block 1, Jayanagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
60 Lac,1330 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hebbal Bangalore 		                		 						            	         		    		 		           			 		           			                    
9 Lac,600 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Srinagar, Banashankari Bangalore 		                		 						            	         		    		 		           			 		           			                    "
35 Lac,600 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Konanakunte Bangalore 		                		 						            	         		    		 		           			 		           			                    
45 Lac,1040 sqft,  3 Bedroom Independent House  for sale in Laggere Bangalore 
14 Cr,5000 sqft,"  5 Bedroom Independent House  for sale in Hal Stage 2, Indira nagar Bangalore "
24 Lac,200 sqft,  1 Bedroom Independent House  for sale in Malleshwaram Bangalore 
50 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Chikkabidarakallu Bangalore 
42 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Amrutahalli Bangalore 
80 Lac,2400 sqft,  4 Bedroom Independent House  for sale in C V Raman Nagar Bangalore 
95 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Malleshwaram Bangalore 
1.45 Cr,2400 sqft,  4 Bedroom Independent House  for sale in Indira Nagar Bangalore 
1.15 Cr,1000 sqft,  3 Bedroom Independent House  for sale in Nandini Layout Bangalore 
75 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Bannerghatta Main Road Bangalore 
1.90 Cr,3200 sqft,"  2 Bedroom Independent House  for sale in Hsr Layout Sector 2, HSR Layout Bangalore "
20 Lac,2350 sqft,  3 Bedroom Independent House  for sale in Bangalore 
88 Lac,800 sqft,"  2 Bedroom Independent House  for sale in Beml Layout, Basaveshvara Nagar Bangalore "
82.5 Lac,1650 sqft,  3 Bedroom Independent House  for sale in Smv Layout Bangalore 
67 Lac,1800 sqft,  5 Bedroom Independent House  for sale in K R Puram Bangalore 
1.23 Cr,3400 sqft,"  5 Bedroom Independent House  for sale in Giri Nagar, Banashankari Bangalore "
30 Lac,900 sqft,  2 Bedroom Independent House  for sale in Makali Bangalore 
1.50 Cr,2400 sqft,"  8 Bedroom Independent House  for sale in Gkw Layout, Vijayanagar Bangalore "
50 Lac,900 sqft,  2 Bedroom Independent House  for sale in Rajajinagar Bangalore 
75 Lac,2000 sqft,  4 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
43 Lac,936 sqft,  2 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
8 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Bangalore 
1.65 Cr,1300 sqft,  4 Bedroom Independent House  for sale in Indira Nagar Bangalore 
52 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Sunkadakatte Bangalore 
16.5 Lac,1500 sqft,"  3 Bedroom Independent House  for sale in Rajajinagar Industrial Town, Rajajinagar Bangalore "
30 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Yelachenahalli, Kumaraswamy Layout, Kanakapura Road Bangalore "
10 Lac,600 sqft,  1 Bedroom Independent House  for sale in Magadi Road Bangalore 
1.20 Cr,1400 sqft,"  3 Bedroom Independent House  for sale in Mahalakshmipuram Layout, Mahalakshmipuram Bangalore "
28 Lac,870 sqft,  2 Bedroom Independent House  for sale in Ananth Nagar Bangalore 
58 Lac,726 sqft,"  2 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
40 Lac,1050 sqft,"  2 Bedroom Independent House  for sale in Avalahalli-Bsk Stage 1, Banashankari Bangalore "
48 Lac,750 sqft,"  2 Bedroom Independent House  for sale in Moodalaplya, Vijayanagar Bangalore "
22 Lac,800 sqft,  2 Bedroom Independent House  for sale in Ananth Nagar Bangalore 
50 Lac,600 sqft,  5 Bedroom Independent House  for sale in T Dasarahalli Bangalore 
50 Lac,600 sqft,"  1 Bedroom Independent House  for sale in Srinagar, Banashankari Bangalore "
32 Lac,3500 sqft,  House  for sale in Koramangala Bangalore 
15.8 Lac,650 sqft,  2 Bedroom Independent House  for sale in Bagalur Main Road Bangalore 
60 Lac,1470 sqft,  4 Bedroom Independent House  for sale in Marathahalli Bangalore 
1.23 Cr,1959 sqft,"  6 Bedroom Independent House  for sale in Lakshminarayanapuram-Rajajinagar, Rajajinagar Bangalore "
49 Lac,640 sqft,  4 Bedroom Independent House  for sale in Nirman Layout Bangalore 
26 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Bangalore 
1.45 Cr,3400 sqft,  4 Bedroom Independent House  for sale in Banashankari Bangalore 
25 Lac,750 sqft,  2 Bedroom Independent House  for sale in Byrathi Bangalore 
80 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
76 Lac,2700 sqft,  2 Bedroom Independent House  for sale in Krishnarajapura Bangalore 
1.10 Cr,2700 sqft,"  2 Bedroom Independent House  for sale in Beml Layout-Rr Nagar Stage 5, Rajarajeshwari Nagar Stage 5 Bangalore "
75 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Vidyapeeta Circle Bangalore 
55 Lac,1000 sqft,"  2 Bedroom Independent House  for sale in Banashankari Stage 6, Srinivaspura Bangalore "
90 Lac,559 sqft,  2 Bedroom Independent House  for sale in Rajajinagar Bangalore 
45.6 Lac,30 sqft,"  1 Bedroom Independent House  for sale in Hbr Layout Block 2, HBR Layout Bangalore "
54.9 Lac,910 sqft,"  3 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
46 Lac,734 sqft,"  2 Bedroom Independent House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
3.30 Cr,2200 sqft,  3 Bedroom Independent House  for sale in Rt Nagar Bangalore 
1.30 Cr,3300 sqft,  7 Bedroom Independent House  for sale in Basava Nagar Bangalore 
12.5 Lac,2200 sqft,  6 Bedroom Independent House  for sale in Abbigere Bangalore 
5.4 Lac,150 sqft,  2 Bedroom Independent House  for sale in Hosur Road Bangalore 
1.50 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Basavanagudi Bangalore 
1.30 Cr,1500 sqft,  2 Bedroom Independent House  for sale in Basaveshvara Nagar Bangalore 
65 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Vijayanagar Bangalore 
60 Lac,1200 sqft,"  1 Bedroom Independent House  for sale in Ashta Laxmi Layout, J P Nagar Bangalore "
75 Lac,1620 sqft,  2 Bedroom Independent House  for sale in Akshayanagar Bangalore 
60 Lac,800 sqft,"  1 Bedroom Independent House  for sale in Ittamadu, Banashankari, Outer Ring Road Bangalore "
30 Lac,370 sqft,"  1 Bedroom Independent House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
1.70 Cr,1400 sqft,"  3 Bedroom Independent House  for sale in Vijayanagar Stage 2, Vijayanagar Bangalore "
90 Lac,2500 sqft,"  7 Bedroom Independent House  for sale in Kanaka Nagar, Hebbal Bangalore "
1.17 Cr,4300 sqft,  7 Bedroom Independent House  for sale in Banashankari Bangalore 
1.99 Cr,4000 sqft,  > 10 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
32 Lac,480 sqft,  1 Bedroom Independent House  for sale in Hongasandra Bangalore 
45 Lac,980 sqft,  2 Bedroom Independent House  for sale in Chandapura Bangalore 
1.50 Cr,3600 sqft,"  4 Bedroom Independent House  for sale in Kothnoor Dinne, JP Nagar Phase 8 Bangalore "
30 Lac,750 sqft,"  1 Bedroom Independent House  for sale in Sinthan Nagar, Thanisandra Bangalore "
1.10 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Bhuvaneswari Nagar Bangalore 
29.5 Lac,800 sqft,  2 Bedroom Independent House  for sale in Bangalore 
50 Lac,964 sqft,"  2 Bedroom Independent House  for sale in Balaji Nagar, Sadduguntepalya Bangalore "
48 Lac,600 sqft,  2 Bedroom Independent House  for sale in Bangalore 
50 Lac,612 sqft,  2 Bedroom Independent House  for sale in Yelahanka Bangalore 
1.80 Cr,1200 sqft,"  4 Bedroom Independent House  for sale in Srinagar, Banashankari Bangalore "
85 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Bandappa Garden, Mathikere Bangalore "
28 Lac,900 sqft,  3 Bedroom Independent House  for sale in Bangalore 
12 Cr,5000 sqft,  4 Bedroom Independent House  for sale in Cunningham Road Bangalore 
1.35 Cr,1215 sqft,"  4 Bedroom Independent House  for sale in Govindarajanagar, Vijayanagar Bangalore "
39 Lac,1100 sqft,  3 Bedroom Independent House  for sale in Bidrahalli Bangalore 
35 Lac,475 sqft,  1 Bedroom Independent House  for sale in Kammanahalli Bangalore 
1.20 Cr,2400 sqft,  7 Bedroom Independent House  for sale in Rt Nagar Bangalore 
25 Lac,674 sqft,"  1 Bedroom Independent House  for sale in Neeladri Nagar, Electronic City Bangalore "
1.40 Cr,1500 sqft,"  3 Bedroom Independent House  for sale in Rahmath Nagar, RT Nagar Bangalore "
95 Lac,1100 sqft,"  2 Bedroom Independent House  for sale in Nobo Nagar, Kalena Agrahara Bangalore "
74 Lac,1800 sqft,"  5 Bedroom Independent House  for sale in Ayyappa Layout, Marathahalli Bangalore "
1.75 Cr,2675 sqft,  4 Bedroom Independent House  for sale in Hsr Layout Bangalore 
32 Lac,600 sqft,  1 Bedroom Independent House  for sale in Whitefield Bangalore 
1.10 Cr,1000 sqft,"  2 Bedroom Independent House  for sale in Muthyala Nagar, Mathikere Bangalore "
76 Lac,1080 sqft,"  2 Bedroom Independent House  for sale in Ananda Puram, Jeevan Bima Nagar Bangalore "
1.35 Cr,3200 sqft,"  4 Bedroom Independent House  for sale in Ramanashree Enclave, Bilekahalli Bangalore "
90 Lac,1200 sqft,  1 Bedroom Independent House  for sale in T Dasarahalli Bangalore 
50 Lac,1030 sqft,"  2 Bedroom Independent House  for sale in Vijaya Bank Layout, Bilekahalli Bangalore "
1.45 Cr,300 sqm,"  5 Bedroom Independent House  for sale in Ramesh Nagar, Vimanapura, Airport Road Bangalore "
66 Lac,2000 sqft,  5 Bedroom Independent House  for sale in Nagondanahalli Bangalore 
18 Lac,1450 sqft,  1 Bedroom Independent House  for sale in Malur Bangalore 
90 Lac,2000 sqft,"  4 Bedroom Independent House  for sale in Jalahalli, Jalahalli, Outer Ring Road Bangalore "
1.10 Cr,2400 sqft,  6 Bedroom Independent House  for sale in Kalyan Nagar Bangalore 
1.80 Cr,1500 sqft,"  2 Bedroom Independent House  for sale in Prakash Nagar, Rajajinagar Bangalore "
2.5 Lac,2000 sqft,  1 Bedroom Independent House  for sale in Dabaspete Bangalore 
1.10 Cr,3600 sqft,  8 Bedroom Independent House  for sale in Kadugodi Bangalore 
45 Lac,1000 sqft,"  3 Bedroom Independent House  for sale in Srinivasan Layout, Hosakerehalli Bangalore "
7 Cr,3990 sqft,  4 Bedroom Independent House  for sale in Sanjay Nagar Stage 2 Bangalore 
1.60 Cr,3000 sqft,  6 Bedroom Independent House  for sale in Koramangala Block 4 Bangalore 
40 Lac,700 sqft,  3 Bedroom Independent House  for sale in Chikkabanavara Bangalore 
1.50 Cr,2422 sqft,  4 Bedroom Independent House  for sale in Kalyan Nagar Bangalore 
1.85 Cr,4050 sqft,  7 Bedroom Independent House  for sale in Vidyapeeta Circle Bangalore 
55 Lac,1200 sqft,"  3 Bedroom Independent House  for sale in Hale Devasandra, Krishnarajapura Bangalore "
35 Lac,600 sqft,  2 Bedroom Independent House  for sale in Margondanahalli Bangalore 
1.10 Cr,1425 sqft,  3 Bedroom Independent House  for sale in Hsr Layout Bangalore 
75 Lac,700 sqft,  4 Bedroom Independent House  for sale in Bommanahalli Bangalore 
67 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Srinivasa Nagar-Banashankari, Banashankari Bangalore "
1.65 Cr,4300 sqft,  7 Bedroom Independent House  for sale in Banashankari 6th Stage 4th Block Bangalore 
80 Lac,100 sqft,  1 Bedroom Independent House  for sale in Sunkadakatte Bangalore 
5 Cr,2000 sqft,"  4 Bedroom Independent House  for sale in Jaya Nagar Block 4, Jayanagar Bangalore "
2.25 Cr,1300 sqft,"  3 Bedroom Independent House  for sale in Mahalakshmipuram Layout, Mahalakshmipuram Bangalore "
85 Lac,1200 sqft,"  2 Bedroom Independent House  for sale in Jagadish Nagar, Kaggadasapura Bangalore "
35 Lac,800 sqft,  2 Bedroom Independent House  for sale in Madanayakahalli Bangalore 
1.25 Cr,2600 sqft,  9 Bedroom Independent House  for sale in Aecs Layout Block A Bangalore 
1.86 Cr,1350 sqft,"  4 Bedroom Independent House  for sale in Mahalakshmipuram Layout, Mahalakshmipuram Bangalore "
55 Lac,1200 sqft,"  3 Bedroom Independent House  for sale in Kumaraswamy Layout, Kumaraswamy Layout Bangalore "
1.50 Cr,2400 sqft,"  2 Bedroom Independent House  for sale in Bhel Layout, Rajarajeshwari Nagar Bangalore "
1 Cr,1350 sqft,  3 Bedroom Independent House  for sale in Malleshwaram Bangalore 
77 Lac,750 sqft,  3 Bedroom Independent House  for sale in Frazer Town Bangalore 
25 Lac,850 sqft,  2 Bedroom Independent House  for sale in Sidedahalli Bangalore 
75 Lac,1400 sqft,"  2 Bedroom Independent House  for sale in Akshya Nagar, Ramamurthi Nagar Bangalore "
55.4 Lac,890 sqft,"  3 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
20 Lac,800 sqft,  2 Bedroom Independent House  for sale in Hosur-Bagalur Road Bangalore 
1.10 Cr,2000 sqft,  3 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
50 Lac,680 sqft,  2 Bedroom Independent House  for sale in Nagasandra Bangalore 
1.60 Cr,2800 sqft,"  4 Bedroom Independent House  for sale in Nrupathunga Nagar, J P Nagar Bangalore "
65 Lac,1225 sqft,  2 Bedroom Independent House  for sale in Kalkere Bangalore 
45 Lac,820 sqft,  2 Bedroom Independent House  for sale in Whitefield Bangalore 
94 Lac,1569 sqft,"  4 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
29 Lac,800 sqft,  2 Bedroom Independent House  for sale in Bidrahalli Bangalore 
60 Lac,2400 sqft,  4 Bedroom Independent House  for sale in Chamrajpet Bangalore 
63 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Laggere Bangalore 
11 Cr,4400 sqft,"  3 Bedroom Independent House  for sale in Jaya Nagar Block 8, Jayanagar Bangalore "
80 Lac,1500 sqft,"  3 Bedroom Independent House  for sale in Kumaraswamy Layout Stage 2, Kumaraswamy Layout Bangalore "
70 Lac,1400 sqft,  3 Bedroom Independent House  for sale in Vidyaranyapura Bangalore 
1.80 Cr,2000 sqft,"  4 Bedroom Independent House  for sale in Ex Service Men Colony, RT Nagar Bangalore "
94 Lac,2000 sqft,"  4 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
78 Lac,2300 sqft,  3 Bedroom Independent House  for sale in Horamavu Bangalore 
1.73 Cr,1075 sqft,  2 Bedroom Independent House  for sale in Rajaji Nagar Block 2 Bangalore 
26 Lac,600 sqft,  2 Bedroom Independent House  for sale in Bangalore 
75 Lac,438 sqft,  3 Bedroom Independent House  for sale in Shivaji Nagar Bangalore 
30 Lac,375 sqft,"  2 Bedroom Independent House  for sale in Shampura, Kaval Byrasandra Bangalore "
3 Cr,2400 sqft,  5 Bedroom Independent House  for sale in Sahakara Nagar Bangalore 
1.25 Cr,3300 sqft,"  6 Bedroom Independent House  for sale in Doddanekundi, Kartik Nagar Bangalore "
49 Lac,610 sqft,"  2 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
46.1 Lac,630 sqft,"  2 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
90 Lac,1900 sqft,  4 Bedroom Independent House  for sale in Banashankari 6th Stage 3rd Block Bangalore 
78 Lac,2150 sqft,"  4 Bedroom Independent House  for sale in Nalagadderanahalli, Peenya Industrial Area Bangalore "
82 Lac,1025 sqft,  2 Bedroom Independent House  for sale in Jayanagar Bangalore 
10 Cr,3600 sqft,"  9 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
70 Lac,1050 sqft,  3 Bedroom Independent House  for sale in Kalyan Nagar Bangalore 
85 Lac,900 sqft,  3 Bedroom Independent House  for sale in Mathikere Bangalore 
37.5 Lac,1600 sqft,  5 Bedroom Independent House  for sale in Rukmini Nagar Bangalore 
70 Lac,1000 sqft,"  2 Bedroom Independent House  for sale in Rbi Layout, J P Nagar Bangalore "
94 Lac,1360 sqft,"  4 Bedroom Independent House  for sale in Maruthi Nagar-Madivala, BTM Layout Bangalore "
1.25 Cr,2000 sqft,  4 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
1.60 Cr,2250 sqft,"  4 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
1.75 Cr,1260 sqft,  3 Bedroom Independent House  for sale in Malleshwaram Bangalore 
35 Lac,1000 sqft,  3 Bedroom Independent House  for sale in Hebbal Bangalore 
92 Lac,550 sqft,"  2 Bedroom Independent House  for sale in Tata Silk Farm, Jayanagar Bangalore "
1.36 Cr,3000 sqft,  5 Bedroom Independent House  for sale in Hbr Layout Bangalore 
85 Lac,2000 sqft,  4 Bedroom Independent House  for sale in Bannerghatta Main Road Bangalore 
72 Lac,2350 sqft,  6 Bedroom Independent House  for sale in K R Puram Bangalore 
1.50 Cr,3000 sqft,  5 Bedroom Independent House  for sale in Essel Gardens Bangalore 
90 Lac,800 sqft,"  5 Bedroom Independent House  for sale in Kathreguppe, Banashankari Bangalore "
46 Lac,1250 sqft,  4 Bedroom Independent House  for sale in Madanayakahalli Bangalore 
1.45 Cr,2300 sqft,  4 Bedroom Independent House  for sale in Rajarajeshwari Nagar Bangalore 
27 Lac,600 sqft,  2 Bedroom Independent House  for sale in Kengeri Bangalore 
1.50 Cr,1750 sqft,  4 Bedroom Independent House  for sale in Sahakara Nagar Bangalore 
63 Lac,1000 sqft,  3 Bedroom Independent House  for sale in Laggere Bangalore 
14 Lac,1225 sqft,  2 Bedroom Independent House  for sale in Dasanapura Bangalore 
15 Lac,900 sqft,"  2 Bedroom Independent House  for sale in Ashok Nagar - Bsk Stage 1, Banashankari Bangalore "
1.69 Cr,2400 sqft,"  8 Bedroom Independent House  for sale in Hsr Layout Sector 3, HSR Layout Bangalore "
7 Lac,700 sqft,  1 Bedroom Independent House  for sale in Koramangala Block 1 Bangalore 
69.3 Lac,1650 sqft,  5 Bedroom Independent House  for sale in Seegehalli Bangalore 
1.30 Cr,2300 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 3, Banashankari Bangalore "
50.6 Lac,1085 sqft,"  2 Bedroom Independent House  for sale in Poorna Pragna Layout, Banashankari Bangalore "
60 Lac,1000 sqft,"  2 Bedroom Independent House  for sale in Udaya Nagar, Mahadevapura Bangalore "
1.05 Cr,1300 sqft,"  3 Bedroom Independent House  for sale in B Narayanapura, Mahadevapura Bangalore "
48 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Jigani Bangalore 
1.30 Cr,2100 sqft,"  3 Bedroom Independent House  for sale in Kathreguppe, Banashankari Bangalore "
1.15 Cr,600 sqft,  3 Bedroom Independent House  for sale in Rajarajeshwari Nagar Bangalore 
62 Lac,1450 sqft,"  3 Bedroom Independent House  for sale in Hennur, Hennur Bagalur Road Bangalore "
29 Lac,600 sqft,  2 Bedroom Independent House  for sale in Kammanahalli Bangalore 
2.30 Cr,1300 sqft,"  3 Bedroom Independent House  for sale in Vyalikaval, Malleshwaram Bangalore "
75 Lac,720 sqft,  3 Bedroom Independent House  for sale in Thanisandra Bangalore 
67 Lac,600 sqft,"  2 Bedroom Independent House  for sale in Kumaraswamy Layout, Kumaraswamy Layout Bangalore "
2 Cr,2150 sqft,  4 Bedroom Independent House  for sale in New Thippasandra Bangalore 
47 Lac,1400 sqft,  2 Bedroom Independent House  for sale in Nelamangala Bangalore 
90 Lac,3000 sqft,  6 Bedroom Independent House  for sale in Muthanallur Bangalore 
38 Lac,600 sqft,  2 Bedroom Independent House  for sale in Maragondahalli Bangalore 
70 Lac,1650 sqft,  3 Bedroom Independent House  for sale in Bannerghatta-Jigani Road Bangalore 
2.10 Cr,1300 sqft,"  3 Bedroom Independent House  for sale in Vivekananda Nagar-Maruti Nagar, Maruthi Sevanagar Bangalore "
9 Cr,4500 sqft,"  4 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
6.50 Cr,"15,000 sqft",  House  for sale in Marathahalli Bangalore 
24 Lac,630 sqft,  2 Bedroom Independent House  for sale in Kudlu Gate Bangalore 
85 Lac,1200 sqft,  9 Bedroom Independent House  for sale in Tharabanahalli Bangalore 
2 Cr,5000 sqft,"  House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
1.10 Cr,3486 sqft,  6 Bedroom Independent House  for sale in Kengeri Satellite Town Bangalore 
