Price,Area,Bedrooms
1.65 Cr,1300 sqft,"  2 Bedroom Independent House  for sale in Isro Layout, Kumaraswamy Layout Bangalore "
2.23 Cr,2617 sqft,  3 Bedroom Independent House  for sale in Sarjapur Bangalore 
85 Lac,1750 sqft,  4 Bedroom Independent House  for sale in Kadugodi Bangalore 
56.2 Lac,776 sqft,  2 Bedroom Independent House  for sale in Chandapura Bangalore 
91 Lac,1172 sqft,"  3 Bedroom Independent House  for sale in Kothnoor Dinne, JP Nagar Phase 8 Bangalore "
1.95 Cr,1200 sqft,"  5 Bedroom Independent House  for sale in Hsr Layout Sector 2, HSR Layout Bangalore "
5.28 Cr,2400 sqft,  3 Bedroom Independent House  for sale in Indira Nagar Bangalore 
2.80 Cr,4200 sqft,  6 Bedroom Independent House  for sale in Sahakara Nagar Bangalore 
3 Cr,1200 sqft,"  4 Bedroom Independent House  for sale in Ksrtc Layout, J P Nagar Bangalore "
98 Lac,1700 sqft,  3 Bedroom Independent House  for sale in Kalkere Bangalore 
3.25 Cr,1200 sqft,"  4 Bedroom Independent House  for sale in Beml Layout-Rr Nagar Stage 5, Rajarajeshwari Nagar Stage 5 Bangalore "
43 Lac,800 sqft,  2 Bedroom Independent House  for sale in K R Puram Bangalore 
45 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Rajanukunte Bangalore 
90 Lac,1500 sqft,  4 Bedroom Independent House  for sale in Banashankari 6th Stage 1st Block Bangalore 
67 Lac,2000 sqft,  4 Bedroom Independent House  for sale in Sarjapur Bangalore 
1.70 Cr,2300 sqft,  3 Bedroom Independent House  for sale in Sarjapur Road Bangalore 
2 Cr,2600 sqft,"  3 Bedroom Independent House  for sale in Hbr Layout Block 5, HBR Layout Bangalore "
1.55 Cr,1000 sqft,"  2 Bedroom Independent House  for sale in Saraswathi Nagar-Vijayanagar, Vijayanagar Bangalore "
55 Lac,900 sqft,  2 Bedroom Independent House  for sale in Nelamangala Bangalore 
3.60 Cr,3900 sqft,  5 Bedroom Independent House  for sale in Kartik Nagar Bangalore 
2.65 Cr,5000 sqft,"  7 Bedroom Independent House  for sale in Kaval Byrasandra, Kaval Byrasandra Bangalore "
1.75 Cr,3000 sqft,"  8 Bedroom Independent House  for sale in Jp Nagar Phase 3, J P Nagar Bangalore "
3.50 Cr,4000 sqft,  4 Bedroom Independent House  for sale in Horamavu Bangalore 
1.80 Cr,2000 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 5, Subramanyapura Bangalore "
3.40 Cr,2500 sqft,  3 Bedroom Independent House  for sale in Kasturi Nagar Bangalore 
2.20 Cr,2700 sqft,"  4 Bedroom Independent House  for sale in Hbr Layout Block 5, HBR Layout Bangalore "
1.98 Cr,2400 sqft,  3 Bedroom Independent House  for sale in Kanakapura Road Bangalore 
55 Lac,1150 sqft,"  1 Bedroom Independent House  for sale in Kas Officers Layout, BTM layout, Outer Ring Road Bangalore "
2.34 Cr,2760 sqft,"  3 Bedroom Independent House  for sale in Poorna Pragna Layout, Banashankari Bangalore "
2 Cr,1500 sqft,  4 Bedroom Independent House  for sale in Bangalore 
3 Cr,2920 sqft,"  4 Bedroom Independent House  for sale in Binnypete, Jagjeevan Ram Nagar Bangalore "
99 Lac,1120 sqft,  3 Bedroom Independent House  for sale in Bangalore 
2 Cr,4312 sqft,"  1 Bedroom Independent House  for sale in Singasandra, Hosur Road Bangalore "
95 Lac,2200 sqft,  5 Bedroom Independent House  for sale in Bangalore 
65 Lac,900 sqft,  2 Bedroom Independent House  for sale in Kithiganur Bangalore 
2 Cr,3000 sqft,"  8 Bedroom Independent House  for sale in Nataraja Layout, Arakere Bangalore "
95 Lac,3000 sqft,  3 Bedroom Independent House  for sale in Babusahib Palya Bangalore 
1.25 Cr,1100 sqft,"  3 Bedroom Independent House  for sale in Jayamahal Extension, Jayamahal Bangalore "
2.50 Cr,3500 sqft,"  5 Bedroom Independent House  for sale in Annapoorneshwari Nagar, Nagarbhavi Bangalore "
1.99 Cr,5600 sqft,"  > 10 Bedroom Independent House  for sale in Hosabasavnapura, Krishnarajapura Bangalore "
1.45 Cr,2400 sqft,"  4 Bedroom Independent House  for sale in Bannerughatta, bannerghatta main Road Bangalore "
1.25 Cr,1800 sqft,"  4 Bedroom Independent House  for sale in Kanaka Nagar-Nri Layout, NRI Layout Bangalore "
80 Lac,2100 sqft,  3 Bedroom Independent House  for sale in Soladevanahalli Bangalore 
1.13 Cr,1800 sqft,  5 Bedroom Independent House  for sale in Btm Layout Stage 4 Bangalore 
1.25 Cr,1200 sqft,  2 Bedroom Independent House  for sale in Mathikere Bangalore 
7.50 Cr,5951 sqft,  4 Bedroom Independent House  for sale in Rajaji Nagar Block 1 Bangalore 
1.20 Cr,1200 sqft,  3 Bedroom Independent House  for sale in Magadi Road Bangalore 
1.25 Cr,2700 sqft,"  5 Bedroom Independent House  for sale in Kammasandra, Electronic City Bangalore "
2.45 Cr,3415 sqft,"  4 Bedroom Independent House  for sale in Bangalore University Layout, Rajarajeshwari Nagar Bangalore "
5 Cr,3800 sqft,"  3 Bedroom Independent House  for sale in Amarjyothi Colony, Hebbal Bangalore "
66 Lac,1100 sqft,  2 Bedroom Independent House  for sale in Maragondahalli Bangalore 
1.85 Cr,4500 sqft,"  5 Bedroom Independent House  for sale in Electronics City Phase 1, Electronic City Bangalore "
90 Lac,1800 sqft,  3 Bedroom Independent House  for sale in Virgonagar Bangalore 
1.30 Cr,1200 sqft,  3 Bedroom Independent House  for sale in Bangalore 
80 Lac,1414 sqft,  3 Bedroom Independent House  for sale in Bangalore 
1.20 Cr,1050 sqft,  2 Bedroom Independent House  for sale in Akshayanagar Bangalore 
3.41 Cr,4000 sqft,"  5 Bedroom Independent House  for sale in Gaurava Nagar, J P Nagar Bangalore "
1 Cr,3000 sqft,  3 Bedroom Independent House  for sale in Kadabagere Bangalore 
4 Cr,5000 sqft,  5 Bedroom Independent House  for sale in Koramangala Block 4 Bangalore 
48 Lac,2 sqft,  1 Bedroom Independent House  for sale in Gangondanahalli Bangalore 
